STATEFP,COUNTYFP,COUNTYNS,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage,Total_Population,Male_Population,Female_Population,Male_Under_5,Female_Under_5,Male_5_9,Female_5_9,Male_10_14,Female_10_14,Male_15_17,Female_15_17,Male_18_19,Female_18_19,Male_20_24,Female_20_24,Male_25_29,Female_25_29,Male_30_34,Female_30_34,Male_35_44,Female_35_44,Male_45_54,Female_45_54,Male_55_64,Female_55_64,Male_65_74,Female_65_74,Male_75_84,Female_75_84,Male_85_Plus,Female_85_Plus,Total_Race_Population,White_Alone,Black_Alone,Native_American_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,Total_Hispanic_Population,Not_Hispanic_Latino,Hispanic_Latino,Total_Education_Population,No_School,Grade_12_No_Diploma,High_School_Graduate,GED,Some_College_Less_1_Year,Some_College_1_Plus_Years,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctorate_Degree,Total_Household_Income,Income_Less_10K,Income_10K_15K,Income_15K_20K,Income_20K_25K,Income_25K_30K,Income_30K_35K,Income_35K_40K,Income_40K_45K,Income_45K_50K,Income_50K_60K,Income_60K_75K,Income_75K_100K,Income_100K_125K,Income_125K_150K,Income_150K_200K,Income_200K_Plus,Median_Household_Income,Total_Labor_Force,In_Labor_Force,Employed,Unemployed,Not_In_Labor_Force,Total_Housing_Units,Occupied_Housing_Units,Vacant_Housing_Units,Owner_Occupied_Housing,Renter_Occupied_Housing,Median_Home_Value,Total_Commuters,Commute_Car_Alone,Commute_Carpool,Commute_Public_Transport,Commute_Bicycle,Commute_Walked,Commute_Other,Work_From_Home,No_Vehicle_Available,One_Vehicle_Available,Two_Vehicles_Available,Three_Plus_Vehicles_Available,Below_Poverty_Level,No_Health_Insurance_Under_19,No_Health_Insurance_19_34,No_Health_Insurance_35_64,No_Health_Insurance_65_Plus,Veteran_Population,With_Disability,Family_Households,Married_Couple_Family,Householder_Living_Alone,Has_Computer,No_Computer,Has_Internet_Subscription,No_Internet_Subscription,English_Only,Spanish,Chinese,Vietnamese,Tagalog,Other_Language
01,003,00161527,0500000US01003,01003,Baldwin,Baldwin County,AL,Alabama,06,4117725048,1132887203,Alabama,AL,Baldwin,1003.0,"Baldwin County, Alabama",105698.0,9.4,29.4,38.9,61.1,233420.0,114077.0,119343.0,6278.0,5826.0,6024.0,6141.0,8418.0,7719.0,4563.0,4427.0,2753.0,2577.0,1509.0,980.0,821.0,1478.0,3546.0,3338.0,6204.0,6283.0,6495.0,6756.0,7537.0,7307.0,3166.0,3116.0,3886.0,5105.0,1746.0,2920.0,233420.0,195998.0,19445.0,848.0,2046.0,31.0,4414.0,10638.0,233420.0,222210.0,11210.0,167022.0,1257.0,3299.0,38059.0,8332.0,11932.0,24237.0,16046.0,33474.0,15077.0,3483.0,2351.0,90802.0,4050.0,3821.0,2994.0,3374.0,3529.0,3856.0,3666.0,3488.0,3866.0,7166.0,7374.0,13086.0,9024.0,6419.0,6801.0,8288.0,71039.0,189569.0,111766.0,107254.0,3825.0,77803.0,125113.0,90802.0,34311.0,70708.0,20094.0,266000.0,105865.0,86118.0,7320.0,98.0,189.0,170.0,1279.0,9634.0,1194.0,15959.0,45190.0,6068.0,23445.0,441.0,1022.0,1894.0,1647.0,20740.0,49331.0,61277.0,51019.0,29525.0,85715.0,5087.0,80935.0,8127.0,,,,,,
01,069,00161560,0500000US01069,01069,Houston,Houston County,AL,Alabama,06,1501742235,4795415,Alabama,AL,Houston,1069.0,"Houston County, Alabama",44880.0,17.6,27.3,44.9,55.1,107040.0,51565.0,55475.0,3391.0,3189.0,3389.0,2897.0,3687.0,3592.0,2272.0,2053.0,1207.0,1148.0,636.0,997.0,731.0,602.0,1736.0,1520.0,3247.0,3538.0,3187.0,3588.0,3074.0,3203.0,1108.0,1313.0,1625.0,1935.0,694.0,1339.0,107040.0,71260.0,29166.0,309.0,987.0,39.0,967.0,4312.0,107040.0,103196.0,3844.0,73993.0,900.0,1712.0,19379.0,4296.0,5203.0,12151.0,7181.0,10616.0,4321.0,1154.0,528.0,41543.0,2768.0,2422.0,2111.0,2108.0,2059.0,1856.0,2171.0,1800.0,1819.0,3218.0,3571.0,5180.0,3269.0,2313.0,2611.0,2267.0,55064.0,85251.0,48358.0,45708.0,2403.0,36893.0,49339.0,41543.0,7796.0,27196.0,14347.0,164900.0,45364.0,38919.0,3710.0,34.0,91.0,54.0,305.0,1934.0,925.0,9193.0,19230.0,1765.0,18878.0,82.0,342.0,1483.0,1071.0,8199.0,24391.0,26980.0,18737.0,14563.0,37508.0,4035.0,34421.0,6100.0,,,,,,
01,005,00161528,0500000US01005,01005,Barbour,Barbour County,AL,Alabama,06,2292160151,50523213,Alabama,AL,Barbour,1005.0,"Barbour County, Alabama",9080.0,22.1,37.1,59.2,40.8,24877.0,12973.0,11904.0,632.0,667.0,689.0,927.0,758.0,580.0,457.0,441.0,357.0,200.0,377.0,101.0,99.0,32.0,382.0,503.0,1055.0,635.0,977.0,701.0,854.0,817.0,308.0,275.0,433.0,558.0,135.0,339.0,24877.0,11309.0,11668.0,74.0,126.0,3.0,1088.0,609.0,24877.0,23675.0,1202.0,17675.0,287.0,488.0,5136.0,1371.0,1076.0,2440.0,1397.0,1167.0,640.0,188.0,105.0,9016.0,917.0,741.0,690.0,778.0,688.0,305.0,415.0,400.0,373.0,554.0,833.0,748.0,478.0,501.0,255.0,340.0,39712.0,20399.0,8968.0,8452.0,516.0,11431.0,11673.0,9016.0,2657.0,5858.0,3158.0,102700.0,8341.0,6844.0,865.0,11.0,18.0,11.0,204.0,334.0,403.0,1595.0,2927.0,551.0,5280.0,6.0,100.0,373.0,100.0,1303.0,5151.0,5722.0,3431.0,3294.0,7675.0,1341.0,6151.0,2194.0,,,,,,
01,119,00161585,0500000US01119,01119,Sumter,Sumter County,AL,Alabama,06,2340898915,24634880,Alabama,AL,Sumter,1119.0,"Sumter County, Alabama",4765.0,24.6,43.0,67.6,32.4,12196.0,5586.0,6610.0,310.0,345.0,347.0,212.0,309.0,448.0,158.0,174.0,344.0,536.0,268.0,245.0,221.0,185.0,393.0,347.0,283.0,432.0,131.0,253.0,425.0,341.0,218.0,196.0,146.0,279.0,50.0,128.0,12196.0,3109.0,8813.0,10.0,57.0,0.0,16.0,191.0,12196.0,12111.0,85.0,7354.0,42.0,177.0,2219.0,150.0,723.0,1317.0,522.0,901.0,544.0,59.0,96.0,4798.0,449.0,506.0,520.0,529.0,366.0,176.0,171.0,181.0,286.0,283.0,338.0,439.0,286.0,88.0,112.0,68.0,31726.0,10124.0,4685.0,4299.0,382.0,5439.0,6329.0,4798.0,1531.0,3324.0,1474.0,88000.0,4136.0,3401.0,393.0,18.0,0.0,0.0,98.0,222.0,135.0,934.0,1345.0,424.0,3285.0,19.0,5.0,244.0,7.0,347.0,2303.0,3010.0,1636.0,1788.0,3911.0,887.0,3354.0,1272.0,,,,,,
05,091,00069166,0500000US05091,05091,Miller,Miller County,AR,Arkansas,06,1616257232,36848741,Arkansas,AR,Miller,5091.0,"Miller County, Arkansas",16311.0,22.71,31.35,54.06,45.94,42682.0,21257.0,21425.0,1336.0,1238.0,1182.0,1497.0,1845.0,1277.0,862.0,854.0,601.0,546.0,388.0,249.0,380.0,267.0,706.0,501.0,1286.0,1424.0,1352.0,1361.0,993.0,1228.0,477.0,534.0,656.0,544.0,173.0,318.0,42682.0,29222.0,10753.0,371.0,148.0,0.0,1106.0,1082.0,42682.0,41077.0,1605.0,28953.0,526.0,639.0,8789.0,2217.0,2312.0,5076.0,2186.0,2614.0,1591.0,161.0,151.0,15863.0,1689.0,790.0,959.0,665.0,1056.0,797.0,669.0,741.0,809.0,1257.0,1625.0,1634.0,1139.0,716.0,776.0,541.0,47613.0,33912.0,17536.0,16166.0,1348.0,16376.0,19790.0,15863.0,3927.0,10517.0,5346.0,137700.0,15949.0,13380.0,1654.0,92.0,14.0,0.0,194.0,412.0,700.0,3599.0,6263.0,628.0,8496.0,89.0,148.0,423.0,317.0,2462.0,10035.0,9931.0,6354.0,5932.0,14427.0,1436.0,12624.0,2221.0,,,,,,
05,133,00069182,0500000US05133,05133,Sevier,Sevier County,AR,Arkansas,06,1459636819,45919661,Arkansas,AR,Sevier,5133.0,"Sevier County, Arkansas",5697.0,20.33,32.67,52.99,47.01,15913.0,7977.0,7936.0,621.0,535.0,739.0,518.0,498.0,795.0,388.0,412.0,335.0,154.0,78.0,186.0,207.0,32.0,204.0,397.0,520.0,434.0,466.0,476.0,393.0,598.0,154.0,215.0,243.0,179.0,34.0,91.0,15913.0,9216.0,752.0,414.0,44.0,204.0,4553.0,730.0,15913.0,10455.0,5458.0,9814.0,372.0,118.0,2807.0,599.0,497.0,1326.0,842.0,764.0,345.0,29.0,7.0,5543.0,351.0,441.0,399.0,169.0,294.0,217.0,231.0,185.0,220.0,815.0,430.0,626.0,492.0,341.0,138.0,194.0,53567.0,11924.0,7195.0,6865.0,330.0,4729.0,6767.0,5543.0,1224.0,3603.0,1940.0,99200.0,6683.0,4873.0,1394.0,19.0,2.0,0.0,82.0,251.0,143.0,1123.0,2331.0,247.0,3144.0,50.0,266.0,187.0,324.0,620.0,4506.0,3959.0,3062.0,1584.0,4889.0,654.0,4306.0,960.0,,,,,,
05,093,00069899,0500000US05093,05093,Mississippi,Mississippi County,AR,Arkansas,06,2336409866,72224609,Arkansas,AR,Mississippi,5093.0,"Mississippi County, Arkansas",15381.0,21.47,26.1,47.57,52.43,40361.0,19837.0,20524.0,1378.0,1422.0,1410.0,1420.0,1647.0,1379.0,934.0,916.0,519.0,458.0,281.0,169.0,235.0,342.0,847.0,776.0,1419.0,1348.0,1280.0,1258.0,1059.0,969.0,360.0,608.0,657.0,598.0,170.0,481.0,40361.0,23530.0,14037.0,60.0,164.0,20.0,569.0,1981.0,40361.0,38451.0,1910.0,26228.0,608.0,597.0,8236.0,2242.0,1992.0,3419.0,1952.0,2413.0,1191.0,198.0,80.0,15005.0,1243.0,1059.0,882.0,989.0,752.0,777.0,673.0,565.0,561.0,1110.0,1253.0,1543.0,1027.0,776.0,911.0,884.0,50012.0,31158.0,18835.0,16965.0,1848.0,12323.0,19194.0,15005.0,4189.0,9027.0,5978.0,110000.0,16253.0,13519.0,2095.0,23.0,28.0,0.0,88.0,368.0,556.0,3770.0,5629.0,672.0,8599.0,50.0,174.0,218.0,270.0,1854.0,10506.0,9877.0,6195.0,5128.0,13189.0,1816.0,12187.0,2084.0,,,,,,
06,037,00277283,0500000US06037,06037,Los Angeles,Los Angeles County,CA,California,06,10515988121,1785003256,California,CA,Los Angeles,6037.0,"Los Angeles County, California",3450470.0,13.94,37.17,51.11,48.89,9936690.0,4937101.0,4999589.0,275447.0,263183.0,286029.0,273153.0,323375.0,304309.0,188258.0,179318.0,130378.0,127761.0,66756.0,62979.0,65878.0,66387.0,209110.0,204719.0,401256.0,389008.0,407998.0,386154.0,367956.0,347260.0,96776.0,106326.0,124165.0,139690.0,68388.0,123561.0,9936690.0,3937901.0,780993.0,111096.0,1473634.0,23400.0,2253956.0,1355710.0,9936690.0,5099096.0,4837594.0,6909650.0,295125.0,213482.0,1275967.0,136293.0,329279.0,930932.0,482967.0,1542422.0,568367.0,177960.0,100810.0,3363093.0,175325.0,131939.0,96987.0,112130.0,112246.0,108597.0,102732.0,106157.0,102280.0,206730.0,278867.0,411710.0,333917.0,252155.0,329974.0,501347.0,83411.0,8086852.0,5240842.0,4869620.0,365544.0,2846010.0,3599561.0,3363093.0,236468.0,1552164.0,1810929.0,732200.0,4737721.0,3220537.0,440344.0,217371.0,9999.0,28299.0,116287.0,626181.0,184804.0,1017651.0,1742268.0,305852.0,1343978.0,8345.0,34471.0,69121.0,96346.0,230282.0,2091332.0,2218646.0,1482931.0,1144447.0,3207033.0,156060.0,3038078.0,252628.0,,,,,,
06,087,00277308,0500000US06087,06087,Santa Cruz,Santa Cruz County,CA,California,06,1152818089,419720203,California,CA,Santa Cruz,6087.0,"Santa Cruz County, California",99069.0,11.52,40.73,52.25,47.75,268571.0,134256.0,134315.0,6240.0,6140.0,7270.0,6624.0,7434.0,7213.0,4802.0,4597.0,5902.0,6464.0,3263.0,2767.0,2536.0,2963.0,7174.0,7011.0,8957.0,8030.0,7986.0,7589.0,8233.0,7663.0,3245.0,3428.0,5235.0,4854.0,1713.0,3491.0,268571.0,176572.0,2839.0,2541.0,13163.0,595.0,40948.0,31913.0,268571.0,176648.0,91923.0,180171.0,3871.0,3053.0,24161.0,4307.0,11425.0,28451.0,14949.0,44286.0,21144.0,5788.0,5319.0,96487.0,3752.0,2715.0,2506.0,2664.0,2382.0,2556.0,2362.0,2703.0,2310.0,4623.0,6464.0,11440.0,9460.0,6793.0,12162.0,21595.0,104409.0,224553.0,142634.0,134104.0,8465.0,81919.0,106433.0,96487.0,9946.0,57852.0,38635.0,951300.0,129470.0,83143.0,11444.0,2332.0,522.0,2538.0,5928.0,21075.0,2693.0,17655.0,49150.0,10377.0,29302.0,150.0,529.0,1246.0,1157.0,9165.0,50286.0,61034.0,46417.0,35453.0,92887.0,3600.0,89422.0,4780.0,,,,,,
06,097,01657246,0500000US06097,06097,Sonoma,Sonoma County,CA,California,06,4080103614,497291856,California,CA,Sonoma,6097.0,"Sonoma County, California",192765.0,8.81,32.47,41.28,58.72,488436.0,240478.0,247958.0,11728.0,11146.0,13560.0,12421.0,13769.0,13863.0,9035.0,8560.0,6024.0,6116.0,2454.0,2920.0,3027.0,2511.0,8470.0,7981.0,15166.0,14374.0,16016.0,15263.0,15707.0,15522.0,6353.0,7241.0,9472.0,10396.0,4417.0,7612.0,488436.0,330543.0,7589.0,5200.0,21833.0,1605.0,66293.0,55373.0,488436.0,351822.0,136614.0,354851.0,7065.0,8584.0,55419.0,8721.0,25986.0,58740.0,33496.0,82815.0,33801.0,12180.0,5503.0,189653.0,6982.0,4582.0,3644.0,4678.0,4636.0,5048.0,5372.0,5013.0,5943.0,10020.0,15673.0,23819.0,20217.0,16037.0,25074.0,32915.0,99266.0,406104.0,262304.0,247915.0,13543.0,143800.0,205393.0,189653.0,15740.0,116921.0,72732.0,748500.0,242102.0,174617.0,22593.0,3185.0,495.0,1665.0,5321.0,31438.0,4056.0,36329.0,93603.0,19308.0,42925.0,402.0,1315.0,1708.0,2532.0,22189.0,93937.0,120088.0,91378.0,69565.0,183242.0,6411.0,177779.0,8883.0,,,,,,
